Title,Platform,Imbibed,Completed,Favorite
Finding Nemo,Game Boy Advance,,TRUE,
Fire Emblem,Game Boy Advance,TRUE,,
Fire Emblem: Awakening,Nintendo 3DS,TRUE,TRUE,
Fire Emblem: Path of Radiance,GameCube,TRUE,TRUE,
Fire Emblem: Radiant Dawn,Nintendo Wii,TRUE,TRUE,
Fire Emblem: Shadow Dragon,Nintendo DS,TRUE,,
Fire Emblem: The Sacred Stones,Game Boy Advance,TRUE,,
Fire Emblem: Three Houses,Nintendo Switch,,,
Freedom Fighters: Battle for Liberty Island,Xbox,,,
Game & Watch Gallery 2,Game Boy Color,,,
Gauntlet Legends,Nintendo 64,TRUE,,
Ghoul Patrol,Nintendo Super NES,,,
God of War Saga Collection,PlayStation 3,,,
Golden Sun,Game Boy Advance,TRUE,,
Golden Sun: The Lost Age,Game Boy Advance,,,
GoldenEye 007,Nintendo 64,TRUE,TRUE,
Grand Theft Auto III,PlayStation 2,TRUE,,
Halo 2,Xbox,TRUE,,
Halo 2,Xbox,TRUE,,
Harvest Moon,Game Boy Color,TRUE,,
Harvest Moon 64,Nintendo 64,TRUE,,
Heavenly Sword,PlayStation 3,,,
Heroes of Mana,Nintendo DS,,,
High Stakes Gambling,Game Boy,,,
Hot Shots Golf 3 - PlayStation 2,PlayStation 2,TRUE,,
Iggy's Reckin' Balls,Nintendo 64,TRUE,,
Illusion of Gaia,Nintendo Super NES,TRUE,,
Jak 3,PlayStation 2,,,
Jak and Daxter: The Precursor Legacy,PlayStation 2,TRUE,TRUE,
Jak II,PlayStation 2,TRUE,,
James Bond 007 Agent Under Fire,PlayStation 2,TRUE,,
Jet Force Gemini,Nintendo 64,TRUE,,
JSRF - Jet Set Radio Future,Xbox,,,
Kessen 2,PlayStation 2,TRUE,,
Killer Queen Black,Nintendo Switch,TRUE,,
King Arthur's World,Nintendo Super NES,TRUE,,
Kingdom Hearts,PlayStation 2,TRUE,TRUE,
Kingdom Hearts Chain of Memories,Game Boy Advance,TRUE,,
